smiles,idnumber,reagent1,reagent2,reagent3,reagent4,reaction,MW,HAC,sLogP,HBA,HBD,RotBonds,FSP3,TPSA,QED,PAINS,BRENK,NIH,ZINC,LILLY,lead-like,350/3_lead-like,fragments,strict_fragments,PPI_modulators,natural_product-like,Type,InChiKey,pred
CC1(C)OCC(CN2C(=O)[C@@H]3C[C@@H]4CCC[C@@H]4N3C2=O)O1,Z3349132877,3882998,11549005,,,272104,294.351,21,1.343,4,0,2,0.867,59.080,0.721,,True,,,,True,True,,True,M,AAACJSVWEZCTSR-XHGCHNAGSA-N,,,-40.78009016732912
CCC1=NC(C)=C(C(=O)N2CC(C(O)CO)C2)O1,Z4926167951,27208575,2802646,,,22,254.286,18,-0.029,5,2,4,0.667,86.800,0.788,,,,,,True,,,,,AAACJVDJKCFZPD-UHFFFAOYSA-N,,,-38.469451646401666
CC(C)CC(C)C1=NOC(C2=CN=C3C=NC=CC3=C2)=N1,Z4564155076,9046481,3060250,,,270196,282.347,21,3.829,5,0,4,0.375,64.700,0.727,,,,,,True,,,,,AAACJYPPZFNKLC-UHFFFAOYSA-N,,,-39.28625423039699
"O=C(COC(=O)[C@@H]1NC(=O)[C@@H]2C[C@@H]21)NC1=CC=CC=C1 |&1:6,10,12|",Z3819336986,26380649,8466957,,,1458,274.276,20,0.303,4,2,4,0.357,84.500,0.774,,,,,,True,True,,,,,M,"AAACKADRYQNVOZ-HOSYDEDBSA-N,AAACKADRYQNVOZ-SCVCMEIPSA-N",-34.51683817040272
"N[C@@H]1CC=CC[C@@H]1C1=NC(C2=CN=C3C=NC=CN23)=NO1 |&1:1,6|",Z3495874873,3649311,22163675,,,271362,282.307,21,1.540,7,1,2,0.286,95.130,0.716,,True,,,,True,,"AAACKCLCAGFHLQ-VHSXEESVSA-N,AAACKCLCAGFHLQ-ZJUUUORDSA-N",,,,,,-38.766658613402385
O=C(C[C@H]1CCCO1)N1CC(N2N=NN=C2C(F)(F)F)C1,Z4351364390,26607863,3524786,,,22,305.260,21,0.644,6,0,3,0.818,73.140,0.819,,,,,,True,True,,,AAACKDBJRMQDAS-MRVPVSSYSA-N,,,,-33.33651530397126
O=C(C[C@@H]1CCCO1)N1CC(N2N=NN=C2C(F)(F)F)C1,Z4351364397,26607863,17379496,,,22,305.260,21,0.644,6,0,3,0.818,73.140,0.819,,,,,,True,True,,AAACKDBJRMQDAS-QMMMGPOBSA-N,,,,,-33.52728573805277
CC1=C(Cl)SC(Cl)=C1C(=O)N1CCCC(C)(C(=O)O)C1,Z4014694789,6834708,11423714,,,269946,336.240,20,3.690,3,1,2,0.538,57.610,0.896,,,,,,True,,,,AAACLOPZKKJLKF-UHFFFAOYSA-N,,,,-34.7440157680776
CCOC(=O)[C@@H]1C[C@H](F)CN1C(=O)COCCC(C)C,Z3613843283,26055901,2020409,,,22,289.347,20,1.551,4,0,7,0.857,55.840,0.527,,True,,,,True,True,,,AAACLPBJMGRNNO-RYUDHWBXSA-N,,,,-34.26762797786597
C=CCC1(C(=O)OCC)CCN(C(=O)C2=NOC(C)C2)C1,Z3896243723,26019115,3479580,,,527,294.351,21,1.509,5,0,5,0.667,68.200,0.569,,True,,,True,True,True,,,,AAACLUZJABMKNO-UHFFFAOYSA-N,,,-35.291337527360206
COC1=CC(CC(=O)N2CCCOC(CF)C2)=NC=N1,Z4292162295,22132280,26536111,,,22,283.303,20,0.615,5,0,4,0.615,64.550,0.810,,,,,,True,True,,,AAACLUZNZGSUBF-UHFFFAOYSA-N,,,,-34.591734774080294
O=C(C=C(I)C1=CC=CC=C1)N1[C@H]2CC[C@@H]1C[C@H](O)C2,Z4326086628,2786624,26299015,,,22,383.229,20,2.977,2,1,2,0.438,40.540,0.630,,True,,,True,True,,,True,S,AAACLZPCOYTGFF-WDNDVIMCSA-N,,,-33.697078642904586
CC1=CC=CC2=C1N(CC1CC3(CC3)C(=O)O1)C(=O)S2,Z3339990909,3000031,26383730,,,7,289.356,20,2.467,5,0,2,0.467,48.300,0.798,,,,,,True,True,,,AAACMJJAHUWDBZ-UHFFFAOYSA-N,,,,-34.898523341831236
CC1(C)CC2C(CN1C1=NC=C3COCCC3=N1)C2(F)F,Z5138601948,26763198,3683199,,,27,295.333,21,2.419,4,0,1,0.733,38.250,0.797,,,,,,True,True,,,,AAACMSRPTMFCRM-UHFFFAOYSA-N,,,-33.10247451123199
COC(=O)[C@H]1C[C@H](OC)CN1C(=O)C1=CN=CC=C1Br,Z4475936892,26015546,6924738,,,22,343.177,20,1.247,5,0,3,0.462,68.730,0.773,,,True,,,True,True,,,AAACMWOGMYOTPB-GZMMTYOYSA-N,,,,-37.42613406262731
COC(=O)[C@@H]1C[C@@H](OC)CN1C(=O)C1=CN=CC=C1Br,Z4296194527,3016528,6924738,,,22,343.177,20,1.247,5,0,3,0.462,68.730,0.773,,,True,,,True,True,,,,AAACMWOGMYOTPB-KCJUWKMLSA-N,,,-36.72847808172054
COC(=O)[C@@H]1C[C@H](OC)CN1C(=O)C1=CN=CC=C1Br,Z4473307491,26015547,6924738,,,22,343.177,20,1.247,5,0,3,0.462,68.730,0.773,,,True,,,True,True,,,AAACMWOGMYOTPB-KWQFWETISA-N,,,,-36.69710162630152
COC(=O)[C@H]1C[C@@H](OC)CN1C(=O)C1=CN=CC=C1Br,Z4473324805,3816624,6924738,,,22,343.177,20,1.247,5,0,3,0.462,68.730,0.773,,,True,,,True,True,,,,AAACMWOGMYOTPB-LDYMZIIASA-N,,,-37.420546153245915
CC1=CC(O)=C(O)C=C1C(=O)N1CCC2(C1)CS(=O)(=O)C2,Z4293720067,24366078,3638841,,,22,311.359,21,0.667,5,2,1,0.500,94.910,0.743,True,True,,,True,True,True,,,AAACMYZFOUAGTQ-UHFFFAOYSA-N,,,,-34.91657411773764
CN(CC1=NC=CC=N1)C(=O)COC1COC1,Z4284983011,22694946,26337094,,,22,237.259,17,-0.150,5,0,5,0.545,64.550,0.712,,,,,,True,,,,,AAACNFUCGKRYHE-UHFFFAOYSA-N,,,-34.148011413396986
O=C(C1=C(Cl)CCOC1)N1CCOC2(CC2)C1,Z4295742939,10518308,13490761,,,22,257.717,17,1.291,3,0,1,0.750,38.770,0.711,,,,,,True,,True,,AAACNGIVBVTEGP-UHFFFAOYSA-N,,,,-34.31154975389323
COCC1=CN2C=C(C(=O)N3CC4(CC4)C3)C=C(F)C2=N1,Z4018317972,17423809,26386242,,,527,289.310,21,1.856,4,0,3,0.467,46.840,0.866,,,,,,True,True,,AAACNJHPUYNVPR-UHFFFAOYSA-N,,,,,-37.714721027700236
COC(=O)C1=CC=C(NC(=O)C2=CC=C(Cl)S2)C(OC)=N1,Z1744358474,15159796,7312,,,11,326.761,21,2.844,6,1,4,0.154,77.520,0.874,,,,,,True,True,,,AAACNJVGGWKFBC-UHFFFAOYSA-N,,,,-34.92308865001856
ClC1=C(CN2C[C@@H]3OCO[C@@H]3C2)N=NS1,Z3321696167,3688830,37724,,,2230,247.707,15,0.749,6,0,2,0.750,47.480,0.772,,,,,,True,,,,,,AAACNLXFRNOPNP-KNVOCYPGSA-N,,-37.34605946389081
"C=C[C@@H]1C[C@H]1C(=O)NC1=C(Cl)C(C(F)(F)F)=CC=N1 |&1:2,4|",Z4706912554,3643898,26398863,,,11,290.672,19,3.514,2,1,3,0.333,41.990,0.866,,True,,,,True,,"AAACNOPQVULTCZ-BQBZGAKWSA-N,AAACNOPQVULTCZ-RNFRBKRXSA-N",,,,,,-34.25656789272189
"C=C[C@H]1C[C@H]1C(=O)NC1=C(Cl)C(C(F)(F)F)=CC=N1 |&1:2,4|",Z4706912653,3643898,26400360,,,11,290.672,19,3.514,2,1,3,0.333,41.990,0.866,,True,,,,True,,"AAACNOPQVULTCZ-NKWVEPMBSA-N,AAACNOPQVULTCZ-RQJHMYQMSA-N",,,,,,-35.819918793628
